attendance,cgpa,fee_delay,assignments,engagement,risk_score
28,5.42,71,88,7.0,100.0
70,6.42,45,67,6.1,47.08
1,8.11,29,65,4.0,100.0
80,8.26,5,81,6.1,18.65
69,5.59,25,74,5.4,45.11
98,8.46,3,72,8.6,11.21
68,5.63,13,84,6.9,39.96
88,7.54,1,89,6.7,16.11
71,6.49,44,73,5.2,45.15
3,6.06,5,81,6.7,100.0
17,8.38,33,69,8.5,82.1
75,6.15,23,82,5.6,36.84
100,8.47,1,84,8.5,8.94
59,7.54,108,68,5.5,73.67
24,9.43,87,60,5.0,85.81
10,5.49,7,62,8.0,100.0
69,6.22,37,66,6.6,46.08
60,5.63,32,83,6.0,61.66
62,6.44,46,74,6.1,61.29
93,8.73,8,84,7.3,12.15
12,5.51,95,66,6.4,100.0
63,7.32,32,66,5.2,49.72
83,9.86,6,88,6.5,9.4
92,8.24,4,75,7.4,14.13
19,8.96,74,85,4.6,89.55
32,5.86,26,89,4.0,84.94
2,4.53,71,86,6.1,100.0
50,5.85,23,74,4.8,66.31
23,8.02,112,89,8.9,99.69
86,8.74,0,74,6.9,12.97
48,9.38,91,81,4.2,63.6
0,5.7,1,80,6.4,100.0
83,7.7,7,86,8.2,18.33
51,9.42,85,70,8.1,58.85
88,8.3,5,85,6.1,15.08
63,5.53,12,78,5.0,50.61
40,7.95,38,77,8.2,63.73
77,7.35,39,69,4.8,36.43
75,6.61,11,60,4.3,33.48
84,9.71,6,78,6.8,10.71
95,9.74,7,70,7.9,8.72
7,8.43,103,79,6.9,100.0
24,7.82,92,77,4.8,100.0
62,6.8,45,60,4.1,60.15
75,6.99,17,66,6.2,32.6
47,4.97,114,81,5.3,100.0
37,9.39,50,81,8.5,56.35
60,6.65,42,64,4.7,61.16
63,5.55,26,71,6.8,57.57
100,9.71,11,78,8.9,8.02
45,9.33,98,87,8.3,64.04
20,5.45,32,62,4.8,100.0
62,6.64,33,77,5.8,54.22
81,8.14,9,71,7.0,20.55
88,9.26,6,79,8.4,10.21
92,7.7,6,73,8.4,16.33
73,7.09,21,78,5.0,33.15
1,6.69,62,81,5.6,100.0
21,7.45,85,76,4.2,100.0
90,7.82,0,77,8.3,14.16
4,6.79,5,72,5.0,100.0
62,6.77,25,72,6.9,49.7
98,9.49,14,88,7.3,9.9
36,5.42,61,82,6.1,100.0
60,5.85,10,74,4.8,50.55
75,5.87,10,75,5.6,35.05
64,6.72,12,71,5.7,43.27
21,4.57,77,87,4.2,100.0
45,9.4,68,71,4.1,59.31
100,8.68,0,74,7.2,10.1
64,7.27,40,69,5.9,52.17
60,6.58,13,75,4.2,47.31
76,7.23,41,79,5.7,36.92
59,5.14,60,78,8.1,77.04
60,7.42,19,70,4.6,45.17
30,6.39,114,77,7.4,100.0
7,6.43,73,85,5.7,100.0
6,5.09,116,77,7.1,100.0
83,8.54,12,73,6.5,18.96
82,9.98,3,87,6.8,8.12
64,5.98,22,82,6.3,51.24
16,7.17,83,75,5.9,100.0
18,6.45,11,88,8.5,86.14
6,9.28,94,79,6.9,100.0
64,6.09,34,79,6.0,56.46
95,9.47,12,79,8.9,9.44
84,9.34,12,80,8.1,12.94
88,9.4,11,86,6.3,12.0
12,5.61,8,77,8.5,100.0
28,4.92,82,67,5.9,100.0
51,5.68,70,84,7.0,85.42
59,4.92,60,71,6.8,80.54
78,5.72,12,72,4.0,34.97
79,5.74,48,60,6.0,46.93
56,6.37,112,84,8.3,81.89
5,8.51,44,72,4.2,100.0
100,9.98,4,73,7.7,6.42
97,7.92,0,83,6.9,12.49
82,9.75,8,80,6.8,11.47
