attendance,cgpa,fee_delay,assignments,engagement,risk_score,risk_category,risk_reason
74,6.96,30,56,5.3,62.6,High,Student shows overall stability
90,9.67,3,87,9.1,12.74,Low,Student shows overall stability
81,9.3,5,81,7.5,24.89,Low,Student shows overall stability
91,9.03,8,96,8.6,16.98,Low,Student shows overall stability
75,5.97,12,54,5.8,57.33,High,Student shows overall stability
86,7.53,8,93,9.4,26.04,Medium,Student shows overall stability
100,8.08,6,91,8.5,14.52,Low,Student shows overall stability
93,8.48,1,87,9.3,15.07,Low,Student shows overall stability
69,6.64,38,67,6.3,67.05,High,Student shows overall stability
35,3.29,87,14,0.4,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
87,9.61,1,94,9.5,11.41,Low,Student shows overall stability
72,5.78,24,62,4.2,68.06,High,Student shows overall stability
23,2.17,47,23,0.1,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
87,9.32,0,84,9.8,12.85,Low,Student shows overall stability
66,7.2,21,51,4.3,65.15,High,Student shows overall stability
64,6.96,49,71,6.7,71.92,High,Low attendance
64,7.44,12,50,6.2,56.78,High,Low attendance
93,8.73,8,94,8.3,18.16,Low,Student shows overall stability
92,8.0,6,96,7.9,21.48,Low,Student shows overall stability
64,6.0,24,60,4.6,71.65,High,Low attendance
6,1.59,67,1,2.5,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
100,9.68,3,90,8.0,8.34,Low,Student shows overall stability
86,9.77,0,99,8.1,12.02,Low,Student shows overall stability
85,8.78,8,84,9.1,23.17,Low,Student shows overall stability
94,7.92,7,88,8.2,22.12,Low,Student shows overall stability
99,8.12,6,81,9.1,16.66,Low,Student shows overall stability
96,8.17,1,81,8.2,17.92,Low,Student shows overall stability
80,9.09,1,100,8.5,18.39,Low,Student shows overall stability
31,3.26,94,10,1.5,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
85,8.42,3,81,8.9,23.12,Low,Student shows overall stability
75,7.1,18,77,5.5,51.02,High,Student shows overall stability
