attendance,cgpa,fee_delay,assignments,engagement,risk_score,risk_category,risk_reason
69,6.83,30,56,5.3,36.97,Medium,Consistent academic performance
85,9.67,3,87,9.1,11.15,Low,Consistent academic performance
76,9.3,5,81,7.5,18.69,Low,Consistent academic performance
86,9.03,8,96,8.6,12.27,Low,Consistent academic performance
70,5.58,12,54,5.8,36.53,Medium,Consistent academic performance
81,7.53,8,93,9.4,18.48,Low,Consistent academic performance
95,8.08,6,91,8.5,9.58,Low,Consistent academic performance
88,8.48,1,87,9.3,11.8,Low,Consistent academic performance
64,6.42,38,67,6.3,41.04,Medium,Consistent academic performance
35,2.99,77,14,0.4,89.71,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
99,9.9,4,95,9.2,2.56,Low,Consistent academic performance
67,5.35,24,62,4.2,41.13,Medium,Consistent academic performance
23,1.97,37,23,0.1,100.0,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
82,9.32,0,84,9.8,13.06,Low,Consistent academic performance
61,7.13,21,51,4.3,40.88,Medium,Consistent academic performance
59,6.82,31,76,5.7,41.54,Medium,Low attendance
69,6.78,10,54,5.7,33.78,Medium,Consistent academic performance
38,0.2,108,14,0.4,97.85,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
73,5.08,41,53,6.7,40.34,Medium,Consistent academic performance
87,8.85,3,92,7.2,12.37,Low,Consistent academic performance
96,9.7,9,92,7.9,6.35,Low,Consistent academic performance
86,7.97,9,86,9.7,15.29,Low,Consistent academic performance
99,9.55,8,82,7.0,6.36,Low,Consistent academic performance
63,6.21,42,68,4.8,43.6,Medium,Consistent academic performance
96,8.05,7,88,8.2,9.69,Low,Consistent academic performance
100,9.91,6,81,9.1,3.82,Low,Consistent academic performance
98,7.59,0,81,8.5,8.89,Low,Consistent academic performance
79,8.36,0,98,9.0,16.01,Low,Consistent academic performance
60,5.61,13,72,6.3,41.37,Medium,Consistent academic performance
80,8.42,3,81,8.9,17.57,Low,Consistent academic performance
70,7.0,18,77,5.5,31.71,Medium,Consistent academic performance
2,2.95,88,35,0.1,100.0,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
73,5.87,16,69,6.8,32.51,Medium,Consistent academic performance
61,7.34,10,60,5.0,37.18,Medium,Consistent academic performance
97,8.85,9,82,7.7,8.67,Low,Consistent academic performance
90,8.89,0,81,10.0,9.85,Low,Consistent academic performance
4,4.5,38,40,1.4,100.0,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
2,4.28,83,32,2.6,100.0,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
82,9.46,7,99,8.7,12.91,Low,Consistent academic performance
57,7.43,27,63,5.6,41.82,Medium,Low attendance
15,4.97,62,3,0.9,100.0,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
94,8.42,7,86,9.2,9.75,Low,Consistent academic performance
90,7.73,2,93,8.8,12.13,Low,Consistent academic performance
50,4.46,56,26,3.2,65.46,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
69,6.23,14,77,6.2,33.35,Medium,Consistent academic performance
77,9.42,0,91,9.8,14.87,Low,Consistent academic performance
52,4.42,66,23,1.3,66.91,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
57,7.45,30,72,4.8,41.79,Medium,Low attendance
72,6.39,40,71,6.1,35.99,Medium,Consistent academic performance
72,6.54,31,72,4.4,34.85,Medium,Consistent academic performance
56,5.81,42,58,6.1,49.96,Medium,Low attendance
64,7.02,44,67,6.6,40.26,Medium,Consistent academic performance
6,2.51,74,19,2.6,100.0,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
15,0.25,116,14,1.5,100.0,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
97,9.18,2,96,7.1,5.72,Low,Consistent academic performance
53,2.69,37,43,3.9,63.12,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
60,5.13,39,64,6.1,47.93,Medium,Consistent academic performance
90,9.94,9,98,9.4,7.64,Low,Consistent academic performance
100,7.7,4,100,7.2,6.96,Low,Consistent academic performance
66,6.02,10,64,4.8,37.21,Medium,Consistent academic performance
70,5.46,10,65,5.6,35.56,Medium,Consistent academic performance
59,6.53,12,61,5.7,40.69,Medium,Low attendance
96,7.54,4,94,7.1,10.2,Low,Consistent academic performance
51,0.88,45,25,3.1,73.67,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
35,0.87,52,9,3.8,91.33,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
51,1.87,48,31,3.4,70.42,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
58,6.54,25,72,6.8,41.85,Medium,Low attendance
31,4.7,53,11,1.6,83.92,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
55,7.03,21,52,6.5,44.06,Medium,Low attendance
65,5.49,22,61,4.3,41.84,Medium,Consistent academic performance
93,9.05,6,96,9.0,7.89,Low,Consistent academic performance
64,5.06,43,68,4.8,46.22,Medium,Consistent academic performance
95,8.37,7,83,8.3,10.05,Low,Consistent academic performance
35,0.89,102,23,3.2,96.48,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
47,0.64,53,22,3.7,79.21,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
48,3.4,52,24,1.0,70.94,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
71,6.26,34,71,4.9,36.55,Medium,Consistent academic performance
78,7.53,8,98,7.3,20.84,Low,Consistent academic performance
88,9.19,3,98,8.5,9.82,Low,Consistent academic performance
79,8.23,8,99,9.0,17.57,Low,Consistent academic performance
22,3.91,68,44,3.7,95.74,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
13,2.75,34,34,3.6,100.0,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
72,7.42,18,59,6.5,30.67,Medium,Consistent academic performance
37,0.42,42,39,0.3,87.76,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
1,0.41,66,37,3.9,100.0,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
55,7.2,26,56,7.0,43.75,Medium,Low attendance
5,3.54,48,43,2.2,100.0,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
73,5.28,12,62,4.0,35.45,Medium,Consistent academic performance
74,5.3,10,52,5.8,34.56,Medium,Consistent academic performance
48,0.41,62,37,1.7,79.98,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
44,4.85,90,46,3.6,72.67,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
65,7.3,44,68,6.9,38.62,Medium,Consistent academic performance
63,5.54,24,50,5.9,43.7,Medium,Consistent academic performance
70,6.84,20,61,6.9,33.36,Medium,Consistent academic performance
80,8.64,4,87,7.5,17.3,Low,Consistent academic performance
62,5.88,37,77,5.1,43.32,Medium,Consistent academic performance
96,7.58,8,80,8.2,11.62,Low,Consistent academic performance
70,5.41,44,78,6.8,39.42,Medium,Consistent academic performance
59,6.53,11,59,6.8,40.16,Medium,Low attendance
44,0.82,62,0,1.9,85.99,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
10,2.97,92,24,3.9,100.0,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
12,0.32,30,20,0.2,100.0,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
16,2.67,34,37,3.7,100.0,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
59,6.89,28,66,4.7,42.32,Medium,Low attendance
75,9.89,3,80,9.0,16.84,Low,Consistent academic performance
62,5.06,43,71,6.3,46.58,Medium,Consistent academic performance
66,7.04,14,79,6.6,32.71,Medium,Consistent academic performance
70,6.2,32,64,6.4,36.99,Medium,Consistent academic performance
65,5.53,43,55,5.8,45.06,Medium,Consistent academic performance
69,6.09,43,69,5.6,39.61,Medium,Consistent academic performance
69,5.99,26,54,6.4,38.17,Medium,Consistent academic performance
71,6.23,29,73,4.1,35.98,Medium,Consistent academic performance
56,5.82,20,68,5.6,45.5,Medium,Low attendance
70,5.38,25,57,4.5,39.57,Medium,Consistent academic performance
24,4.48,96,26,2.7,97.04,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
100,8.06,4,84,8.0,7.43,Low,Consistent academic performance
60,5.3,21,75,6.7,43.05,Medium,Consistent academic performance
100,9.23,8,94,8.9,4.34,Low,Consistent academic performance
85,9.8,0,83,9.4,10.59,Low,Consistent academic performance
51,1.05,85,21,0.9,81.29,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
13,2.31,55,13,0.6,100.0,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
77,9.74,1,85,8.6,15.47,Low,Consistent academic performance
99,9.34,9,86,8.0,6.06,Low,Consistent academic performance
100,8.84,8,96,8.0,5.35,Low,Consistent academic performance
64,6.97,27,64,5.8,38.29,Medium,Consistent academic performance
46,3.73,112,41,1.1,76.16,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
56,5.61,15,54,6.8,46.08,Medium,Low attendance
95,7.88,6,95,7.5,10.1,Low,Consistent academic performance
98,9.74,6,82,8.6,5.37,Low,Consistent academic performance
58,7.49,15,51,5.7,40.13,Medium,Low attendance
14,4.09,80,1,2.2,100.0,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
73,7.1,14,55,6.9,30.43,Medium,Consistent academic performance
19,2.54,41,46,2.8,100.0,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
37,2.91,40,35,1.3,79.23,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
60,5.84,19,54,4.2,44.56,Medium,Consistent academic performance
12,3.42,113,0,0.6,100.0,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
83,8.99,7,85,8.2,15.12,Low,Consistent academic performance
71,7.13,23,70,6.2,31.94,Medium,Consistent academic performance
11,1.9,30,39,2.9,100.0,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
82,9.57,4,93,9.4,12.43,Low,Consistent academic performance
36,4.07,107,25,3.6,84.56,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
84,8.48,7,87,8.3,15.51,Low,Consistent academic performance
73,6.56,42,72,5.3,35.55,Medium,Consistent academic performance
71,7.25,11,63,4.2,31.32,Medium,Consistent academic performance
81,7.79,5,82,8.9,18.73,Low,Consistent academic performance
74,6.99,38,50,5.6,35.24,Medium,Consistent academic performance
35,4.99,86,32,2.8,81.58,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
32,0.17,115,1,3.0,100.0,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
32,0.51,42,30,1.5,93.2,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
74,5.99,38,57,4.4,37.62,Medium,Consistent academic performance
86,9.43,2,98,8.7,10.1,Low,Consistent academic performance
26,1.73,40,9,1.4,98.13,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
97,8.66,9,92,7.4,8.21,Low,Consistent academic performance
75,7.55,3,95,9.1,21.15,Low,Consistent academic performance
7,3.26,60,8,1.7,100.0,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
39,4.2,40,22,0.5,74.79,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
100,9.6,5,80,9.6,4.14,Low,Consistent academic performance
62,6.52,18,70,5.0,39.13,Medium,Consistent academic performance
52,3.02,64,24,3.5,69.55,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
6,1.73,63,26,1.8,100.0,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
86,9.78,5,86,7.5,11.59,Low,Consistent academic performance
75,8.41,5,97,9.0,19.18,Low,Consistent academic performance
94,8.65,3,87,8.5,8.82,Low,Consistent academic performance
67,5.99,28,79,4.6,38.2,Medium,Consistent academic performance
87,8.44,7,98,7.2,13.36,Low,Consistent academic performance
46,2.64,67,3,0.7,79.69,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
38,3.77,39,9,3.6,76.73,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
55,5.06,37,67,6.6,50.86,Medium,Low attendance
57,5.58,17,71,5.0,44.98,Medium,Low attendance
73,6.63,17,51,6.4,32.75,Medium,Consistent academic performance
31,4.28,45,3,3.8,83.7,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
88,8.23,1,86,8.9,12.63,Low,Consistent academic performance
20,0.13,48,35,2.6,100.0,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
0,4.09,49,10,1.0,100.0,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
66,7.08,39,58,5.3,39.54,Medium,Consistent academic performance
94,9.94,7,96,9.6,5.31,Low,Consistent academic performance
68,6.18,41,66,5.5,40.1,Medium,Consistent academic performance
63,6.35,34,56,4.7,43.16,Medium,Consistent academic performance
68,7.46,38,62,6.1,36.3,Medium,Consistent academic performance
5,4.57,114,41,2.3,100.0,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
91,8.51,5,91,7.6,11.14,Low,Consistent academic performance
95,8.16,5,87,7.8,10.01,Low,Consistent academic performance
61,6.43,26,75,5.2,40.77,Medium,Consistent academic performance
45,0.23,83,42,0.7,86.78,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
93,8.11,4,90,7.9,10.7,Low,Consistent academic performance
71,6.8,44,71,5.4,36.56,Medium,Consistent academic performance
59,6.21,29,68,5.8,43.69,Medium,Low attendance
87,7.89,8,81,7.3,16.43,Low,Consistent academic performance
91,8.53,7,89,8.4,11.25,Low,Consistent academic performance
92,9.5,2,85,8.8,7.98,Low,Consistent academic performance
66,7.02,26,59,6.1,37.05,Medium,Consistent academic performance
66,6.35,33,68,6.2,39.03,Medium,Consistent academic performance
22,3.62,109,5,3.9,100.0,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
11,1.11,55,40,3.8,100.0,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
84,8.97,0,100,8.4,11.85,Low,Consistent academic performance
89,9.24,8,98,9.8,9.35,Low,Consistent academic performance
22,3.98,68,34,1.3,97.72,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
16,3.25,53,34,2.2,100.0,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
57,6.74,35,72,5.2,44.45,Medium,Low attendance
71,6.35,31,74,6.2,34.88,Medium,Consistent academic performance
67,6.54,11,72,5.4,34.22,Medium,Consistent academic performance
54,0.93,47,31,3.7,70.38,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
88,8.38,0,100,8.4,10.97,Low,Consistent academic performance
66,7.46,19,79,5.3,33.11,Medium,Consistent academic performance
59,6.83,12,62,5.1,40.06,Medium,Low attendance
78,9.29,4,95,7.1,16.29,Low,Consistent academic performance
8,0.55,117,3,0.9,100.0,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
36,0.45,99,38,3.5,95.21,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
10,4.52,54,6,4.0,100.0,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
94,9.59,5,100,9.5,5.36,Low,Consistent academic performance
85,7.94,9,88,7.6,16.8,Low,Consistent academic performance
5,4.0,83,46,0.9,100.0,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
74,7.49,44,67,5.5,33.34,Medium,Consistent academic performance
2,4.08,42,46,0.1,100.0,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
36,0.46,85,2,1.1,99.16,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
57,7.39,21,59,6.4,40.96,Medium,Low attendance
59,6.84,43,73,4.8,44.26,Medium,Low attendance
79,7.62,1,85,9.9,18.84,Low,Consistent academic performance
79,9.98,1,87,9.6,13.06,Low,Consistent academic performance
73,7.06,43,57,5.7,35.75,Medium,Consistent academic performance
80,8.8,7,80,7.5,18.13,Low,Consistent academic performance
87,9.59,8,100,9.0,9.81,Low,Consistent academic performance
60,5.47,14,60,6.9,42.81,Medium,Consistent academic performance
64,5.32,39,56,4.5,46.22,Medium,Consistent academic performance
13,3.78,41,38,0.8,100.0,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
91,8.9,7,81,8.9,10.99,Low,Consistent academic performance
57,5.32,28,79,4.1,47.22,Medium,Low attendance
56,5.85,24,79,6.3,44.64,Medium,Low attendance
19,3.44,97,26,0.7,100.0,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
16,2.91,94,21,2.5,100.0,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
92,9.98,3,82,8.8,7.41,Low,Consistent academic performance
65,7.05,24,68,4.8,37.02,Medium,Consistent academic performance
76,8.18,3,96,7.3,19.76,Low,Consistent academic performance
14,3.97,58,10,0.9,100.0,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
88,8.08,2,96,9.9,11.65,Low,Consistent academic performance
95,9.77,4,99,8.2,5.03,Low,Consistent academic performance
77,8.28,9,85,7.7,20.84,Low,Consistent academic performance
91,9.13,1,94,8.4,8.43,Low,Consistent academic performance
68,5.51,38,70,4.5,41.46,Medium,Consistent academic performance
72,6.9,12,78,4.4,30.16,Medium,Consistent academic performance
100,9.04,8,93,8.8,4.86,Low,Consistent academic performance
74,6.08,31,71,5.0,34.58,Medium,Consistent academic performance
62,5.78,22,66,4.0,42.73,Medium,Consistent academic performance
92,8.7,5,90,9.1,9.55,Low,Consistent academic performance
37,4.54,40,21,3.0,74.45,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
86,9.97,5,99,8.0,9.6,Low,Consistent academic performance
49,1.63,31,32,0.4,71.44,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
55,7.06,35,71,5.0,45.15,Medium,Low attendance
25,3.45,44,33,0.2,92.28,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
39,3.18,96,5,2.4,87.17,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
63,6.77,17,57,6.1,38.33,Medium,Consistent academic performance
46,4.07,36,10,3.6,67.97,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
57,5.1,23,60,6.2,47.86,Medium,Low attendance
66,5.4,28,72,5.4,40.75,Medium,Consistent academic performance
28,3.95,84,31,2.0,92.82,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
72,6.63,41,73,6.9,34.92,Medium,Consistent academic performance
64,6.01,38,71,4.1,42.88,Medium,Consistent academic performance
86,7.94,4,99,8.9,13.64,Low,Consistent academic performance
19,2.52,79,48,2.1,100.0,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
56,6.22,11,64,6.7,42.71,Medium,Low attendance
64,7.48,21,52,5.9,37.05,Medium,Consistent academic performance
69,5.59,35,57,5.2,41.01,Medium,Consistent academic performance
64,5.59,23,51,4.5,43.28,Medium,Consistent academic performance
44,2.19,89,46,2.4,81.41,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
74,6.48,15,66,5.2,31.29,Medium,Consistent academic performance
1,4.29,34,0,3.1,100.0,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
87,8.09,9,82,8.3,15.53,Low,Consistent academic performance
64,6.67,10,54,4.7,37.78,Medium,Consistent academic performance
55,5.63,29,77,4.1,48.12,Medium,Low attendance
36,2.67,78,48,2.8,85.28,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
69,7.17,29,67,7.0,33.99,Medium,Consistent academic performance
79,9.84,0,82,8.4,14.37,Low,Consistent academic performance
4,0.52,80,13,2.8,100.0,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
72,7.41,43,74,5.9,33.66,Medium,Consistent academic performance
30,1.27,72,49,1.4,96.13,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
67,5.36,17,67,4.6,39.28,Medium,Consistent academic performance
28,2.22,34,46,0.7,89.58,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
54,4.89,72,9,0.1,67.0,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
100,9.67,7,96,7.1,3.98,Low,Consistent academic performance
45,4.59,30,18,3.8,65.32,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
47,3.26,119,27,0.6,78.41,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
63,7.17,34,65,6.3,39.23,Medium,Consistent academic performance
83,7.77,1,85,8.0,17.1,Low,Consistent academic performance
60,7.25,22,58,5.0,40.32,Medium,Consistent academic performance
0,0.6,83,6,0.0,100.0,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
86,9.02,4,98,8.2,11.62,Low,Consistent academic performance
71,6.36,44,61,4.0,39.38,Medium,Consistent academic performance
62,6.67,19,51,5.4,40.59,Medium,Consistent academic performance
62,6.3,15,77,4.1,39.01,Medium,Consistent academic performance
66,5.37,24,61,5.4,41.25,Medium,Consistent academic performance
60,6.87,30,72,5.3,41.17,Medium,Consistent academic performance
52,4.49,54,35,3.7,62.3,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
95,8.7,2,81,7.5,9.11,Low,Consistent academic performance
74,6.68,38,64,5.6,34.63,Medium,Consistent academic performance
64,6.53,27,51,4.8,41.28,Medium,Consistent academic performance
65,5.31,19,56,5.6,41.69,Medium,Consistent academic performance
