attendance,cgpa,fee_delay,participation,assignments,risk_score
51,9.51,106,7.8,20,46.07
74,4.59,116,6.0,23,54.52
2,0.21,1,7.2,29,61.53
20,6.17,57,5.2,88,48.2
48,5.25,41,0.5,59,44.79
46,6.18,107,5.1,63,48.11
2,8.6,6,1.7,38,40.44
89,0.98,83,2.4,59,55.61
70,6.1,7,0.3,77,26.15
3,3.12,5,2.1,3,61.7
53,0.31,17,7.8,33,52.17
94,9.22,71,5.7,61,24.56
39,8.45,108,2.7,52,55.43
59,5.43,40,3.0,44,42.83
64,0.16,8,7.7,7,51.12
32,6.06,105,3.6,40,64.84
27,8.63,71,4.5,32,49.92
87,6.66,43,6.4,90,23.32
34,4.72,100,9.7,2,64.11
13,4.94,8,7.1,89,48.24
41,4.39,50,0.3,51,59.28
100,2.49,108,5.4,28,52.77
35,9.43,70,2.9,85,42.63
61,6.33,5,4.6,43,34.31
83,8.93,74,3.2,91,30.75
0,2.28,61,0.0,76,70.63
2,0.07,71,5.3,61,74.66
43,2.44,58,3.2,95,52.33
87,7.03,112,0.6,57,39.32
55,0.37,112,9.8,91,60.95
53,0.33,95,9.1,18,67.16
89,9.86,31,5.9,54,23.45
74,3.7,16,7.3,23,37.54
85,5.36,111,8.0,72,42.53
58,1.87,92,8.6,58,58.73
18,3.49,70,1.7,32,65.05
39,3.87,81,8.4,10,57.68
22,5.41,41,2.6,15,56.16
89,9.82,115,5.3,1,43.18
8,2.79,18,7.3,2,61.51
19,8.87,119,8.9,74,56.91
88,6.64,92,2.8,81,43.07
65,6.92,79,9.9,99,31.25
20,1.79,119,6.5,6,82.71
66,6.58,32,5.4,58,28.69
29,9.73,108,4.9,7,54.38
26,4.34,20,5.0,27,53.95
60,4.99,3,0.2,48,38.86
16,9.95,29,9.5,5,40.63
52,5.72,59,8.5,62,44.05
84,1.91,32,3.2,17,46.96
57,9.3,45,1.0,31,37.58
46,9.9,65,2.5,1,47.62
8,7.02,47,5.5,41,52.38
25,8.1,24,6.1,59,40.62
44,1.94,7,7.0,15,60.66
13,8.9,86,0.3,97,54.12
85,3.28,57,5.4,21,41.48
57,8.6,48,0.4,69,37.36
100,5.22,52,2.7,4,31.78
67,8.42,95,5.3,46,39.48
15,9.76,105,3.2,16,61.87
62,4.34,57,0.8,100,49.19
0,1.73,0,4.4,95,53.34
47,1.83,108,2.8,15,78.23
68,6.12,118,0.5,25,58.21
15,1.59,85,0.1,77,75.35
99,1.73,93,6.5,9,53.1
68,8.87,51,3.7,18,39.04
68,6.84,15,0.7,1,37.41
